Time,Learning rate,Train loss,Validation loss,MAE_free_energy
226.04835677146912,0.0001,5179524.440769231,3411805.6487692306,1443.4297235576923
452.1734068393707,0.0001,2230067.8256153846,1376925.0993846154,896.4857463942308
678.802089214325,0.0001,1084920.6117307693,840062.0481153846,686.021985576923
905.1862361431122,0.0001,711276.7126153846,590677.2283653846,570.8384639423077
1131.1924438476562,0.0001,527874.6595769231,447790.2166730769,495.5988251201923
1357.604169845581,0.0001,410336.01801923075,351941.70565384615,447.3751875
1584.1486785411835,0.0001,334127.8861923077,295710.46042307693,419.8706171875
1810.2673535346985,0.0001,287343.76297115383,260691.79615384617,402.9150084134615
2036.5460369586945,0.0001,253696.53296153847,233147.93529807692,388.15017307692307
2263.023794412613,0.0001,228101.34403846154,211917.41839423077,376.02499278846153
2489.4911551475525,0.0001,207531.8855673077,196614.56948076922,366.4335072115385
2715.61998462677,0.0001,192666.3208846154,183695.1458846154,357.4892205528846
2941.832771062851,0.0001,181961.0240576923,175134.6174903846,351.4828942307692
3168.1612462997437,0.0001,174387.46633653846,167349.3230096154,346.2539549278846
3394.1997287273407,0.0001,165887.01416346154,161415.52797115385,342.34778846153847
3620.3527135849,0.0001,159907.15696153845,156526.66936538462,339.1702403846154
3846.3078606128693,0.0001,155466.16203846154,151498.29375,336.16422415865384
4072.942994117737,0.0001,150430.25518269232,155432.5308076923,338.4528317307692
4299.232011318207,0.0001,145949.39364423076,147058.64833653846,333.54440685096154
4526.037273168564,0.0001,142224.73720192307,140710.8799326923,330.17516165865385
4752.576730251312,0.0001,139419.10335576924,139437.67872115385,329.3536875
4979.052648305893,0.0001,136349.0736826923,138322.93425961537,328.8127998798077
5205.591500282288,0.0001,134331.31838461538,132007.0184423077,326.27759014423077
5432.358726501465,0.0001,132620.693875,134204.75957692307,326.96302524038464
5658.622593402863,0.0001,130441.20994230769,128985.44028365385,325.1713533653846
5885.38149023056,0.0001,128121.44844711538,127084.73562980769,324.56825841346154
6111.519447088242,0.0001,128340.92037980769,132248.46684615384,325.3339423076923
6337.903256654739,0.0001,125946.63239903846,128785.82922596154,324.3316826923077
6564.463155508041,0.0001,125948.10761057692,126197.60041826923,323.7199158653846
6791.054276704788,0.0001,123866.00035096153,144893.1288076923,328.52374759615384
7017.369569301605,0.0001,122577.31263942308,121659.58797115384,322.8184086538462
7243.775372505188,0.0001,121335.32914423077,120748.09413942308,322.59135877403844
7470.314702987671,0.0001,120571.3636923077,124533.68948557692,322.85815985576926
7696.50582909584,0.0001,122163.08742788462,119364.9070673077,322.3083004807692
7923.0326681137085,0.0001,119633.90738942308,119536.62122115385,322.4605546875
8149.540234565735,0.0001,120301.98699038461,119214.67705288461,322.31805709134613
8376.051152229309,0.0001,117896.20191826923,118512.96785576922,322.22136899038463
8602.53975558281,0.0001,118610.7452451923,122319.26719230769,322.07181610576924
8828.465157032013,0.0001,118895.7000673077,117025.69509615385,321.64054296875
9054.93259048462,0.0001,118274.26670673076,116869.56367307692,321.52746213942305
9281.136053323746,0.0001,117765.21538461538,118208.62600961539,322.00556730769233
9507.312325239182,0.0001,116762.47516826923,116454.4848701923,321.3348076923077
9733.66115784645,0.0001,115891.48851923077,116690.90514903846,321.6301971153846
9960.100753307343,0.0001,115764.29345192308,117258.42238942308,321.17923798076924
10186.349744558334,0.0001,115125.98877884615,116916.11439423077,321.54066556490386
10412.497103452682,0.0001,115145.42637980769,115094.03184134615,321.24485697115387
10638.749211549759,0.0001,115521.89437019231,115650.81970192307,320.8175829326923
10865.151529073715,0.0001,115099.8523076923,119906.85377403846,321.20515384615385
11091.550205945969,0.0001,115797.03291826924,114399.28469711538,320.94894891826925
11317.896619796753,0.0001,114386.83561057692,116050.34948076923,320.7576117788461
11544.334942817688,0.0001,113870.59478365384,113842.16934134615,320.84514212740385
11770.072554588318,0.0001,113728.33409615385,114505.95707692308,320.66229447115387
11996.460289478302,0.0001,115887.11838461539,113919.935,320.58573287259617
12222.649355888367,0.0001,113765.69337019231,115200.00305288461,321.19823167067307
12448.608289718628,0.0001,113118.23683173077,113129.11028846154,320.5401201923077
12674.97046470642,0.0001,113156.95688461539,119394.63592788462,322.0630234375
12901.067901611328,0.0001,113678.01017788461,117289.45394711538,320.55409254807694
13127.273683309555,0.0001,113713.08593269231,115864.16058653846,320.4769729567308
13353.655794858932,0.0001,112818.46428365384,113678.53815384615,320.87714603365384
13580.039109945297,0.0001,112685.95428846154,119059.12734134616,321.90564032451925
13806.517224311829,0.0001,112739.87144711538,112487.41729807692,320.2878846153846
14032.771026134491,0.0001,112543.78548557693,113528.74709134616,320.806421875
14259.010085821152,0.0001,112294.35748557693,112065.59063461538,320.2833665865385
14485.167939424515,0.0001,112168.92245192308,112095.34413942308,320.4629921875
14711.01986503601,0.0001,112780.58770192308,111902.26581730769,320.2911304086538
14937.561975240707,0.0001,112457.09348557693,113296.00088942307,320.07057932692305
15163.42916560173,0.0001,113086.2032451923,111698.12054807693,320.3529510216346
15389.821695804596,0.0001,112029.79852403846,115844.67751442308,320.15766466346156
15616.447680234909,0.0001,112230.81321634616,111466.18453846154,320.2022040264423
15842.558367967606,0.0001,112320.52460576923,111371.57814903845,320.13549338942306
16068.982963562012,0.0001,111260.84116826922,116589.65570192308,320.32158173076925
16294.96801829338,0.0001,111774.89073557692,111204.28085576923,320.1141496394231
16521.39225769043,0.0001,111196.44764423076,112607.2511875,319.94429056490384
16747.692047834396,0.0001,111164.60307692307,111207.29228846154,320.22593990384615
16973.580934286118,0.0001,111797.29413942307,111584.89752884615,319.9323389423077
17199.790595769882,0.0001,110899.19983173077,112906.58781730769,319.77709254807695
17425.86627650261,0.0001,111394.7883076923,111076.05715865384,319.9719579326923
17651.845383644104,0.0001,111174.17551923078,111305.83567307693,320.2643731971154
17877.65979552269,0.0001,111222.37444711539,110938.62195192308,320.19611388221153
18104.12544989586,0.0001,110667.41683653847,110595.38870673077,320.03094290865386
18330.19626736641,0.0001,111116.18335576923,110655.54584134616,320.047984375
18556.153459072113,0.0001,110740.45513942308,110501.06828846154,320.00385216346154
18782.365804433823,0.0001,110759.00709615384,114981.59425480769,320.9071502403846
19008.704768180847,0.0001,110342.67314903846,110414.87407211539,319.97734555288463
19235.4877512455,0.0001,110296.86997115385,110783.79888942308,319.7491932091346
19462.128681898117,0.0001,110018.81902403846,110482.76673557692,319.92407091346155
19688.573256731033,0.0001,110736.64625,111850.20980288461,319.6830661057692
19915.190852165222,0.0001,110150.24660096155,110608.85038461539,319.83011989182694
20141.75349879265,0.0001,110762.36200961539,110082.26457211538,319.80878185096157
20368.4367852211,0.0001,111042.28763942307,110607.94178365385,320.14016947115385
20594.79111123085,0.0001,110879.2117548077,112083.19625961539,319.56024278846155
20821.272152662277,0.0001,110398.73731730769,109930.4069375,319.72362560096155
21047.96962928772,0.0001,110319.25609134615,110493.24490384615,319.5869453125
21274.013610124588,0.0001,110222.88809615385,112370.28008173077,319.46810306490386
21500.50407242775,0.0001,109617.02353365385,109706.11119711539,319.7269591346154
21727.25071644783,0.0001,110334.39828365385,115439.79653365385,319.6010715144231
21954.420570135117,0.0001,110826.79476923076,111878.05490865385,320.30514423076926
22180.840564250946,0.0001,110308.73084615385,119496.43038461538,319.93888942307694
22407.371425151825,0.0001,110375.41608173077,109608.02547115384,319.8385949519231
22633.714303970337,0.0001,110593.78720673078,110952.37190384616,319.4474795673077
22860.29686689377,0.0001,109653.70163461538,109781.18005769231,319.8751805889423
23087.13005375862,0.0001,109499.06809134615,113434.37284615384,320.4901953125
23313.3588616848,0.0001,110287.03677884616,112770.11077403846,320.26686959134616
23540.62787938118,0.0001,109328.81177884615,110096.51613942308,319.8401670673077
23767.56222677231,0.0001,111073.345875,110078.53106730769,319.4470150240385
23994.04670381546,0.0001,110812.6708125,112698.97470673078,320.330859375
